,text,tweet_id,name,tweet_created,retweet_count,favourites_count,tweet_coordinates,tweet_sentiment
23,@RoyalCaribbean Every speciality restaurant I booked was gone 2day after I sp/w sum1 last night who said they could see the reservations.,564523573751324673,Ivyprofessor,2015-02-08 20:38:02+00:00,0,0,,negative
24,@RoyalCaribbean Shout out 2Aaron that took care of me 2day.There's no reason I should have 2 call after spending 2 hrs online.DD has issues.,564523079138029568,Ivyprofessor,2015-02-08 20:36:05+00:00,0,0,,positive
25,@RoyalCaribbean trying to book restaurants and shows and website keeps hanging or says credit card error. Yet it doesn't ask for card?,564522896337670145,ChrisArnold33,2015-02-08 20:35:21+00:00,0,0,,negative
26,@RoyalCaribbean do you have a number in the UK please,564519223087865859,Babychan,2015-02-08 20:20:45+00:00,0,0,,neutral
27,@RoyalCaribbean Thanks for the info will keep checking!,564517292848214017,willz1253,2015-02-08 20:13:05+00:00,0,0,,positive
28,@RoyalCaribbean RT por favor! Gracias!! #VamosPorLosTunantesSigamosPorTodos Contacto @ElTunante2,564509527975141376,Nanda19996,2015-02-08 19:42:14+00:00,1,0,,neutral
29,@RoyalCaribbean RT por favor! Gracias!! #VamosPorLosTunantesSigamosPorTodos Contacto @ElTunante2,564508068550279169,ElTunante2,2015-02-08 19:36:26+00:00,0,0,,neutral
30,@RoyalCaribbean got me sitting in my room for over an hour waiting for assistance,564497245442428928,KID_HMK,2015-02-08 18:53:25+00:00,0,0,,negative
31,@RoyalCaribbean I guess our experience still does not matter to you! We still have heard nothing from you. Extremely disappointed,564491697845850113,walkerfamilyca,2015-02-08 18:31:23+00:00,0,0,,negative
32,@RoyalCaribbean @thetexastenors Have a great time! Love the Royal Caribbean ships!,564476247909335040,JenniferKowatch,2015-02-08 17:29:59+00:00,0,1,,positive
33,@RoyalCaribbean @thetexastenors have a great time find some time for yourself I know you guys going to do a great job,564474848089366528,liz08rosie06,2015-02-08 17:24:25+00:00,0,0,,positive
34,@RoyalCaribbean has the float out of #anthemoftheseas happened today?,564472005706399744,helenslakin,2015-02-08 17:13:08+00:00,0,0,,neutral
35,"@RoyalCaribbean Cruising on 2/13 on @Enchantmentofseas &amp; I wonder if you have some tips? My wife &amp; I are sailing on same ship,17yrs later!",564465149860646913,beare00s,2015-02-08 16:45:53+00:00,0,0,,neutral
36,"@RoyalCaribbean begin construction on 4th #Oasisclass cruise ship, complete refit on #FreedomoftheSeas. #cruisenews http://www.cruisearabiaonline.com/News/2015/02/08/Royal-Caribbean-begin-construction-of-fourth-Oasis-class-ship-as-Freedom-of-the-Seas-completes-refit",564424528852291586,CruiseArabia,2015-02-08 14:04:28+00:00,0,0,,neutral
37,@RoyalCaribbean who is the cruise director on independence April 5 out of Fort Laud?? better be someone #awesome,564422767387631616,candishweet,2015-02-08 13:57:28+00:00,0,0,,positive
38,@RoyalCaribbean Everything!! ,564419614390886402,AutismAtThePark,2015-02-08 13:44:57+00:00,0,0,,positive
39,@RoyalCaribbean when is the anthem scheduled to leave Mayer werft today and is there a link I can watch the float out. Booked on it 1st June,564400583671812096,martinkelly84,2015-02-08 12:29:19+00:00,0,0,,neutral
40,@RoyalCaribbean Do you know what time the float out for Anthem of the Seas is today? Will it be available to watch online?,564396229225107456,willz1253,2015-02-08 12:12:01+00:00,0,2,,neutral
41,@RoyalCaribbean I am trying to book the character breakfast on the Allure but it keeps charging for children when they are free. Please help,564346756780285952,Babychan,2015-02-08 08:55:26+00:00,0,0,,negative
42,@RoyalCaribbean Can I have a follow please,564329608221192192,tonyr2011,2015-02-08 07:47:17+00:00,0,0,,neutral
43,@RoyalCaribbean really knows how to deal with allergies. Ate like a gluten free queen in the dining room all week! #celiac #oasisoftheseas,564293281757294592,Bellaevangel,2015-02-08 05:22:57+00:00,0,0,,positive
44,"@RoyalCaribbean flow rider, gettin to relax in the sun, and all the food!",564289678401355776,MattAllein,2015-02-08 05:08:37+00:00,0,1,,positive
45,"“@RoyalCaribbean: @MattAllein When will you be onboard, Matt?”",564268749419978752,MattAllein,2015-02-08 03:45:28+00:00,0,0,,neutral
46,@RoyalCaribbean May 23rd to May 30th,564262668807458816,MattAllein,2015-02-08 03:21:18+00:00,0,0,,neutral
47,@RoyalCaribbean AYÚDENNOS!!! Comparte el nuevo video por favor!! Gracias! http://buscandoaltunante.com.ar contacto @ElTunante2,564211376357666816,Nanda19996,2015-02-07 23:57:29+00:00,1,0,,neutral
48,@RoyalCaribbean @Lisshamer 141 Days until our Wedding on here lets go! Save us a seat!,564196937545822210,petegriggs,2015-02-07 23:00:06+00:00,0,0,,positive
49,@RoyalCaribbean be there on the 26th!!!,564178789287342081,DeanFlukes,2015-02-07 21:47:59+00:00,0,0,,positive
50,@RoyalCaribbean save a good seat for us in June ,564174823870693376,belcaulfield,2015-02-07 21:32:14+00:00,0,0,,positive
51,I wish I was there “@RoyalCaribbean: Best seats in the house. #ExploreroftheSeas http://bit.ly/1IqmSRU ”,564167268909600768,abbyctaliaferro,2015-02-07 21:02:13+00:00,0,1,,positive
52,@RoyalCaribbean 63 days 'til we set sale for 18bday; 16th bday &amp; 20th anniversary. Can't wait! 3rd RCI cruise,564129191755808768,DanieB_TD,2015-02-07 18:30:54+00:00,0,1,,positive
53,@RoyalCaribbean off we go!! #oasisoftheseas #vacationbaby @dhalla_n,564085858337566720,dhalla_d,2015-02-07 15:38:43+00:00,1,0,,positive
54,@RoyalCaribbean no one reached out to us onboard. I suppose our business wasn't wanted. Back to booking with @PrincessCruises.,564077326645100546,walkerfamilyca,2015-02-07 15:04:49+00:00,0,0,,negative
55,@RoyalCaribbean Id go on more cruises but my flights to get to a port are more $$than the cruise #kansasproblems,564073185860005889,jamenard2,2015-02-07 14:48:22+00:00,0,0,,negative
56,@RoyalCaribbean one week until we cruise on Oasis! Cannot wait! Need relief from snow and cold... looking forward to the Caribbean Sea!,564054146295537665,mamafriedman,2015-02-07 13:32:42+00:00,0,0,,positive
57,"@RoyalCaribbean one more week and I'll be on my first cruise out of Ft Lauderdale, cruising to Belize and Cozumel.. Excited and nervous!!",564050571431124994,Karyshairstudio,2015-02-07 13:18:30+00:00,0,0,,positive
58,@RoyalCaribbean I just had the best vacation of my life on Liberty of the Seas and @abrahamprod. Thank u for a wonderful experience. ,563906841663774720,tammyharris01,2015-02-07 03:47:22+00:00,0,2,,neutral
59,@RoyalCaribbean @RoyalCaribPR Add a photo sharing component to Royal IQ,563889771928248320,mbjboyle,2015-02-07 02:39:32+00:00,0,0,,neutral
60,“@RoyalCaribbean: Find your little corner of the world. #Croatia http://bit.ly/1Kp5M4v ” I love Croatia!,563875600645902336,Babijenn22,2015-02-07 01:43:14+00:00,0,1,,positive
61,@RoyalCaribbean no I haven't- any recommendations of what to do on the ship?,563830512033468417,bextp84,2015-02-06 22:44:04+00:00,0,0,,neutral
62,@RoyalCaribbean Gonna be a whole bunch of new things to see and do! Really excited about the Ultimate drink package though lol :),563825548221100032,MarMarDub,2015-02-06 22:24:20+00:00,0,2,,positive
63,@RoyalCaribbean Liberty of the Seas out of Fort Lauderdale! First time on Freedom class. Last RCCL I was on was Radiance class I think?,563825315890212866,MarMarDub,2015-02-06 22:23:25+00:00,0,0,,neutral
64,@RoyalCaribbean since we've hit the specialty restaurants (FAVE was 150 Central Park) we are going to Japanese night at Windjammer!,563824909411811328,kmarcoz,2015-02-06 22:21:48+00:00,0,0,,positive
65,"@RoyalCaribbean Her favorite - grilled cheese, fries and a shake! Yum! #FreedomoftheSeas",563820641015459840,thisgrltravels,2015-02-06 22:04:50+00:00,0,0,,positive
66,@RoyalCaribbean On the #oasisoftheseas...can't believe the week is over already!,563815812025180160,kmarcoz,2015-02-06 21:45:39+00:00,0,0,,positive
67,@RoyalCaribbean only one week to go and we'll be on oasis of the seas! Can't wait!!!,563814761251766273,bextp84,2015-02-06 21:41:28+00:00,0,0,,positive
68,@RoyalCaribbean Quantum in San Juan PR.,563813909014913024,anaysa34,2015-02-06 21:38:05+00:00,0,0,,negative
69,@RoyalCaribbean @beefikeefi #cruise #CruiseChat #RoyalCaribbean @QuantumofSeas #cruising,563795405063086081,winker_watson1,2015-02-06 20:24:34+00:00,0,0,,negative
70,"@RoyalCaribbean adventure of the seas , Can't wait....Great times ahead !",563784463491268608,BuddTender,2015-02-06 19:41:05+00:00,0,1,,positive
71,@RoyalCaribbean Quantum of the Seas arrives in San Juan with 4.262 passengers! #SeePuertoRico http://www.see.pr,563781720743235584,discover_PR,2015-02-06 19:30:11+00:00,2,4,,neutral
72,@RoyalCaribbean ruined holiday no flexibility when one of your top agents makes a mistake #treatthecustomerfairly,563778361429073922,ashleymanoff,2015-02-06 19:16:50+00:00,0,0,,negative
73,@RoyalCaribbean Nuevo estudio indica área donde podría estar el velero perdido Contacto @ElTunante2 http://www.clarin.com/sociedad/Tunante-busqueda-familiares-velero-perdido-Brasil_0_1297670545.html,563775503698771968,NlidaLassalle,2015-02-06 19:05:29+00:00,2,0,,neutral
74,@RoyalCaribbean Our favorite is Freedom (5th time on this year)-can't wait to see the changes!,563767416229208064,BridgetJ_AVON,2015-02-06 18:33:20+00:00,0,1,,positive
75,@RoyalCaribbean a long 22! We'll see you on the 28th in Fort Lauderdale! #libertyoftheseas,563761148236152832,CruiseOut2Sea,2015-02-06 18:08:26+00:00,0,0,,positive
76,"@royalcaribbean - thank you for your generous $10,000 Cushman Gala Sponsorship! http://okt.to/mY810b",563759086828003328,CushmanSchool,2015-02-06 18:00:15+00:00,0,1,,positive
77,@RoyalCaribbean Nuevo estudio indica área donde podría estar el velero perdido Contacto @ElTunante2 http://www.clarin.com/sociedad/Tunante-busqueda-familiares-velero-perdido-Brasil_0_1297670545.html,563755725542137856,higgins_lilly,2015-02-06 17:46:53+00:00,2,0,,neutral
78,@RoyalCaribbean LOOK at the FREEBIES Here! Call 01314430766 http://www.gocruise.co.uk/garyd https://www.youtube.com/watch?v=p-PCEOcBzKQ,563748640716775425,cruiseoffers1st,2015-02-06 17:18:44+00:00,0,1,,positive
79,@RoyalCaribbean @MyRoyalUK @theRCLblog @RCI_fans @liveboatusa #legendoftheseas off the coast of #ConeyIsland,563740677205676032,liveboatusa,2015-02-06 16:47:05+00:00,0,0,,neutral
80,@RoyalCaribbean thanks! Took a surprise trip for my inlaws as their #christmas present!,563735649761886208,naters88,2015-02-06 16:27:07+00:00,0,3,,negative
81,@RoyalCaribbean what a joke in customer service. No compassion no customer care #lostaloyalcustomer,563732289440714752,ashleymanoff,2015-02-06 16:13:46+00:00,0,0,,negative
82,@RoyalCaribbean you should ashamed at how much you've charged for flights. Utter shite no wonder you have big ships! Grrrrr not happy.,563716772629843969,Luke_Cordon,2015-02-06 15:12:06+00:00,0,0,,negative
83,@RoyalCaribbean invertirá US$1.200 millones en nueva flota en 2015 http://bit.ly/1Ig6ZNZ,563674942232088578,JavierHosteltur,2015-02-06 12:25:53+00:00,0,0,,neutral
84,@RoyalCaribbean invertirá 1.050 M € en nueva flota en 2015 #cruceros vía @hosteltur http://bit.ly/1BYxDSN,563660259932135427,angelesvargaspe,2015-02-06 11:27:32+00:00,0,0,,neutral
85,@RoyalCaribbean @MyRoyalUK joke,563658987489755137,ChrisCjmassey23,2015-02-06 11:22:29+00:00,0,0,,negative
86,@RoyalCaribbean would love to see how you celebrate in RED today for National Wear Red Day! #GOREDSFL ,563571647341281280,AHASouthFlorida,2015-02-06 05:35:26+00:00,0,0,,neutral
87,@RoyalCaribbean in Cozumel today!! #publiport #Cozumel #mexico #MexicoFriendly,563532811358208001,PubliportC,2015-02-06 03:01:06+00:00,0,0,,positive
88,@RoyalCaribbean Try to send an on boarding gift but the cut off was 6 pm. Manager said they couldn't override the system. My moms birthday:(,563529453499072512,KPK102,2015-02-06 02:47:46+00:00,0,0,,negative
89,@RoyalCaribbean can't wait to join the #oasisoftheseas Saturday for a week of fun and sun!,563493757925216256,tashajean29,2015-02-06 00:25:55+00:00,0,0,,positive
90,@RoyalCaribbean's Freedom of the Seas sets sail after revitalisation,563493228738269184,SiteMapaMundi,2015-02-06 00:23:49+00:00,0,0,,neutral
91,@RoyalCaribbean I sales on quantum of the seas and loved it but the dining wasn't my favorite I enjoyed americN icon silk grande and chic ,563481253521793024,McnamraBrien,2015-02-05 23:36:14+00:00,0,0,,positive
92,@RoyalCaribbean when should i join you guys for my next cruise please advise,563478498795216898,travisyost,2015-02-05 23:25:17+00:00,0,1,,neutral
93,@RoyalCaribbean @DisneyCruise Please warn your travelers @Verizon Global Roaming is a bait and switch tactic. Avoid the backlash!,563473267936473088,Bristol1730,2015-02-05 23:04:30+00:00,0,0,,negative
94,@RoyalCaribbean #brillianceoftheseas goodbye Tampa! #cruisingwithcoke,563465871918526464,kerrizrjohnson,2015-02-05 22:35:07+00:00,0,0,,positive
95,@RoyalCaribbean Do you allow non MMR vaccinated people on your boats?,563464054564724736,nychyperbole,2015-02-05 22:27:53+00:00,0,0,,neutral
96,@RoyalCaribbean Podes ayudarnos en la busqueda!! Gracias!! Contacto @ElTunante2 https://www.youtube.com/watch?v=COb5IzO0CrQ&amp;feature=youtu.be http://fe.buscandoaltunante.com.ar,563456900499767296,Nanda19996,2015-02-05 21:59:28+00:00,1,0,,neutral
97,"@RoyalCaribbean travelling to caribbean San Juan , p.rico via Philadelphia (4hour stop)do I need a green card visa or ESTA thanks",563417372472934400,Ashmitch41,2015-02-05 19:22:24+00:00,0,0,,neutral
98,@RoyalCaribbean's Grandeur of the Seas docked early due to norovirus. #SurfaceWise will soon counter this threat.,563385180681822208,AlliedBio,2015-02-05 17:14:28+00:00,0,0,,neutral
99,@RoyalCaribbean TODAY ONLY! #BOGO50Off plus $200 #OBC 2-Day Sale http://sdozier.cruisesinc.com/travel/promotion/royal-caribbean-cruises.do #CruiseChat #FamlyTravel #BOGO50Off #TravelThursday,563382700556705792,SLATEvacations,2015-02-05 17:04:37+00:00,0,0,,positive
100,@RoyalCaribbean beautiful,563328738776330240,Macuska04,2015-02-05 13:30:12+00:00,0,0,,positive
101,@RoyalCaribbean ha comenzado la construcción de su 4 barco de la clase #oasis @RoyalESP #RevistaiCruceros http://www.icruceros.eu,563320562588864512,icruceros,2015-02-05 12:57:42+00:00,0,1,,neutral
102,@RoyalCaribbean Independence of the Seas docks @San Juan with 3.557 passengers http://www.see.pr #SeePuertoRico,563298522179457024,discover_PR,2015-02-05 11:30:07+00:00,1,1,,neutral
103,@RoyalCaribbean cruise to see #Norway's beautiful fjords all booked for May with @charlesastwood. Happy days :),563297278505795584,CiorGlass,2015-02-05 11:25:11+00:00,0,0,,positive
104,@RoyalCaribbean will you ever bring out an itinerary around Hawaii that doesn't involve 4 or 5 days in a row at sea on a 10 day cruise?,563289457248722944,b_d4512,2015-02-05 10:54:06+00:00,0,0,,negative
105,"@RoyalCaribbean construye su cuarto barco de la clase ‘Oasis’, que estará operativo en 2017",563277704313962496,bivestour,2015-02-05 10:07:24+00:00,0,0,,neutral
106,"@RoyalCaribbean beautiful photo Steve hodgson , capturing all the different colours .",563255451752865792,hall_dch,2015-02-05 08:38:59+00:00,0,0,,positive
107,@RoyalCaribbean begins work on fourth #Oasis class ship with steel cutting ceremony,563141073367998464,SiteMapaMundi,2015-02-05 01:04:29+00:00,0,0,,neutral
108,@RoyalCaribbean sale is extended offering Buy One Get One Up To 50% Off • Up to US$400 Onboard Credit per stateroom and • 50% deposits.,563127689217712128,McIntoshIanmac,2015-02-05 00:11:18+00:00,0,0,,neutral
109,@RoyalCaribbean unveils revitalized #FreedomoftheSeas http://ow.ly/Iummu #upgrades #cruise,563097189602582528,bahamasinvestor,2015-02-04 22:10:06+00:00,0,0,,positive
110,@RoyalCaribbean Maroma Beach Riviera Cancun #beautiful #exquisite,563096718989078528,satnamrsingh,2015-02-04 22:08:14+00:00,0,0,,positive
111,@RoyalCaribbean That looks so scenic!,563095948646432769,satnamrsingh,2015-02-04 22:05:10+00:00,0,0,,positive
112,@RoyalCaribbean is offering free return flights when you book Asia on Legend of the Seas 10 nights or longer departing 11 June - 10 Nov 2015,563093853822283777,McIntoshIanmac,2015-02-04 21:56:51+00:00,0,0,,neutral
113,"@RoyalCaribbean , comienza la construcción del 4º barco de la clase Oasis.@RoyalESP http://loscrucerosdemarian.com/royal-caribbean-international-comienza-la-construccion-del-4o-barco-de-la-clase-oasis/",563069499805818880,Marian_geles,2015-02-04 20:20:04+00:00,0,1,,neutral
114,@RoyalCaribbean Rotational dining doesn't sound any better than dynamic. Both force guests to go to restaurants they don't like.,563056465859313664,ssblackman,2015-02-04 19:28:17+00:00,0,0,,negative
115,@RoyalCaribbean Thank you. We are looking forward to our cruise in April.,563051393473601536,Tykeslife,2015-02-04 19:08:07+00:00,0,1,,positive
116,"@RoyalCaribbean Yes, please. I wish could teleport to the Allure, Oasis, or Quantum right now. Any of the above would do! :-)",563045364673314816,DianaUrban,2015-02-04 18:44:10+00:00,0,1,,positive
117,@RoyalCaribbean Your website sale dates are wrong. Showing December 2014.,563013971348033536,cristencasados,2015-02-04 16:39:25+00:00,0,0,,negative
118,@RoyalCaribbean begins construction on fourth Oasis-class ship (official press release) http://shar.es/1o53iK via @RoyalCaribPR,562984439652057088,gotang20,2015-02-04 14:42:04+00:00,0,0,,neutral
119,@RoyalCaribbean more annoyed booking early doesn't do any1 any good!Giving free upgrades if u book inside cabin! Booked 7 months ago Annoyed,562955770724372480,Charlie199001,2015-02-04 12:48:09+00:00,0,1,,negative
120,@RoyalCaribbean regarding latest Nuro virus..we always hear the CG took samples..but never the cause. Hope my April cruise goes well,562927220751351811,Gerald205,2015-02-04 10:54:42+00:00,0,0,,neutral
121,@RoyalCaribbean heard a lot of people saying all inclusive packages that you get a basic drinks package? How do we find out of this is me?,562901820709044225,Charlie199001,2015-02-04 09:13:46+00:00,0,0,,neutral
122,@RoyalCaribbean Cheers - I have created a basic listing for you http://timthetraveller.com/traveldeals/listing-category/cruise-deals you can also create a listing with your own content,562808597529513987,giddaytim,2015-02-04 03:03:20+00:00,0,0,,positive
123,@RoyalCaribbean #QuantumOfTheSeas #flowrider Yup That's Me #flowriding https://vine.co/v/OFOEQKli7md,562797031258062849,Hawk546nj,2015-02-04 02:17:23+00:00,5,12,,positive
124,@RoyalCaribbean #QuantumOfTheSeas #IFLY #RoyalWow Look Ma no Hands! https://vine.co/v/OFOEQqvd0dI,562796135728050176,Hawk546nj,2015-02-04 02:13:49+00:00,0,0,,positive
125,@RoyalCaribbean @n2nursingmb,562774878672396291,FutrellJohn,2015-02-04 00:49:21+00:00,0,0,,neutral
126,@RoyalCaribbean any truth to rumors that Freedom may need another dry dock to fix mechanical issues?,562734489290698754,cruisebrett,2015-02-03 22:08:52+00:00,0,0,,neutral
127,@RoyalCaribbean I've just seen a troubling tweet that you are stopping dynamic dining on anthem?? I want dynamic that's y I booked anthem,562731307919474688,Chris__Colvin,2015-02-03 21:56:13+00:00,0,0,,negative
128,@RoyalCaribbean Alaska's on my bucket list but wish you had 2 week cruises. Long way and expensive from the UK for 7 days solo.,562727693478019073,linerlovers,2015-02-03 21:41:51+00:00,0,0,,negative
129,@RoyalCaribbean 77 days until I'm on anthem of the seas! Can I have free wifi please :)) I will tweet nice things about the ship :)),562724367826968576,Chris__Colvin,2015-02-03 21:28:38+00:00,0,0,,positive
130,@RoyalCaribbean Pretty but I still want a warmER beach haha,562717533208588288,BoilermakerB,2015-02-03 21:01:29+00:00,0,1,,neutral
131,@RoyalCaribbean is searching for a Media Account Executive. Go to #HireACane and search for the Job Id: 45095 today!,562712382171275264,Toppel,2015-02-03 20:41:01+00:00,0,0,,neutral
132,@RoyalCaribbean starts building fourth Oasis-class #cruise ship. http://bit.ly/1zc6Nco,562703302492971008,cruiseapalooza,2015-02-03 20:04:56+00:00,0,0,,neutral
133,@RoyalCaribbean @MiamiBoatShow book for for an Amazing #zen experience #namaste,562683547178532864,GuruHealing,2015-02-03 18:46:26+00:00,0,0,,positive
134,@RoyalCaribbean Your guest left a balanced cruise review. We thought you might want to respond to their concerns http://bit.ly/1zbuIZp,562665784640815104,CruiselineTalk,2015-02-03 17:35:51+00:00,1,0,,neutral
135,@RoyalCaribbean I'm not happy with classic dinning on anthem. It's not what we booked for. #nothappyaboutthis,562660358981435392,iaincooper1970,2015-02-03 17:14:17+00:00,0,0,,negative
136,@RoyalCaribbean not really happy about this classic dinning. It's not what we signed up for. #nothappyaboutthis,562657470594957312,iaincooper1970,2015-02-03 17:02:49+00:00,0,0,,negative
137,@RoyalCaribbean Interesting comparison between Royal Caribbean dining vs Princess Cruise - http://www.aboutcruiseships.com/news/royal-caribbean-cruise-2491.html,562630462938431488,AndyCruiseShips,2015-02-03 15:15:30+00:00,0,1,,neutral
138,"@RoyalCaribbean transforma el concepto ""Dynamic Dining"" enel #crucero #AnthemoftheSeas http://blog.opinionesdecruceros.com/royal-caribbean-modifica-el-concepto-dynamic-dining/ #opinionesdecruceros #cruceros",562587927478562816,OpinionCruceros,2015-02-03 12:26:28+00:00,0,0,,neutral
139,@RoyalCaribbean What can be done about this?,562562921352691712,Lasanaonline,2015-02-03 10:47:07+00:00,0,0,,negative
140,@RoyalCaribbean Maybe it was a fluke but our overall experience on this cruise was a 4 out of 10. #EnchantmentoftheSeas #cruisetravel,562562730603732992,Lasanaonline,2015-02-03 10:46:21+00:00,0,0,,negative
141,"@RoyalCaribbean My boyfriend is an avid cruiser. In fact, he was on Enchantment of the Seas last year and had a much better experience then",562562377296904192,Lasanaonline,2015-02-03 10:44:57+00:00,0,0,,negative
142,@RoyalCaribbean One of the passengers even defecated in the pool in the solarium and it was shut down for an entire day. Gross. #cruise,562561977680412672,Lasanaonline,2015-02-03 10:43:22+00:00,0,0,,negative
143,@RoyalCaribbean I'm on a cruise to relax and enjoy. Not to constantly be told what I can't do or have.#cruisetravel #PoorCustomerService,562560615982854144,Lasanaonline,2015-02-03 10:37:57+00:00,0,0,,negative
144,"@RoyalCaribbean I was told, ""No"" so much on the cruise as well: No food available at this time, we're closed. Andy gave me No credit.",562560044362133504,Lasanaonline,2015-02-03 10:35:41+00:00,0,0,,negative
145,@RoyalCaribbean I was also disappointed that lobster wasn't an included option for formal dining night as it's been for @CruiseNorwegian.,562559045190832128,Lasanaonline,2015-02-03 10:31:42+00:00,0,0,,negative
146,@RoyalCaribbean Why doesn't the entire ship look like the 6th floor level? #EnchantmentoftheSeas #cruisetravel #cruise #CruiseChat,562558462891409409,Lasanaonline,2015-02-03 10:29:24+00:00,0,0,,negative
147,@RoyalCaribbean Enchantment of the Seas also seems to be an older ship. It could use some TLC and some renovations. #cruisetravel,562558026339848192,Lasanaonline,2015-02-03 10:27:39+00:00,0,0,,negative
148,@RoyalCaribbean We even missed one of our ports! My boyfriend was so looking forward to going to Coco Cay and the BBQ. Never happened!,562557158387372032,Lasanaonline,2015-02-03 10:24:13+00:00,0,0,,negative
149,@RoyalCaribbean Who do I speak with regarding my disappointment of my recent Enchantment of the Seas experience?,562553984775626755,Lasanaonline,2015-02-03 10:11:36+00:00,0,0,,negative
150,@RoyalCaribbean Have you got a #travel #deals page? can you tweet me the link http://www.timthetraveller.com/traveldeals,562520388135972864,giddaytim,2015-02-03 07:58:06+00:00,0,0,,neutral
151,"@RoyalCaribbean Grandeur of the Seas linked to #norovirus outbreak, again | barfblog http://barfblog.com/2015/02/royal-caribbean-grandeur-of-the-seas-linked-to-norovirus-outbreak-again/",562460999110766592,trackmycrop,2015-02-03 04:02:06+00:00,0,0,,neutral
152,@RoyalCaribbean Thank You! #travelAgents #cruiseone #vacationhappiness,562426778128769024,VacationHappE,2015-02-03 01:46:07+00:00,0,0,,positive
