text,tweet_id,name,tweet_created,retweet_count,favourites_count,tweet_coordinates,tweet_sentiment,tweet_sentiment_GAH,tweet_sentiment_OKL,DM_Score,GH_Score,OL_score,sum,airline_sentiment,Contested
@RoyalCaribbean Every speciality restaurant I booked was gone 2day after I sp/w sum1 last night who said they could see the reservations.,5.65E+17,Ivyprofessor,2015-02-08 20:38:02+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@RoyalCaribbean Shout out 2Aaron that took care of me 2day.There's no reason I should have 2 call after spending 2 hrs online.DD has issues.,5.65E+17,Ivyprofessor,2015-02-08 20:36:05+00:00,0,0,,neutral,positive,positive,0,1,1,2,positive,contested
@RoyalCaribbean trying to book restaurants and shows and website keeps hanging or says credit card error. Yet it doesn't ask for card?,5.65E+17,ChrisArnold33,2015-02-08 20:35:21+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@RoyalCaribbean do you have a number in the UK please,5.65E+17,Babychan,2015-02-08 20:20:45+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean Thanks for the info will keep checking!,5.65E+17,willz1253,2015-02-08 20:13:05+00:00,0,0,,neutral,positive,positive,0,1,1,2,positive,contested
@RoyalCaribbean RT por favor! Gracias!! #VamosPorLosTunantesSigamosPorTodos Contacto @ElTunante2,5.65E+17,Nanda19996,2015-02-08 19:42:14+00:00,1,0,,neutral,positive,neutral,0,1,0,1,neutral,contested
@RoyalCaribbean RT por favor! Gracias!! #VamosPorLosTunantesSigamosPorTodos Contacto @ElTunante2,5.65E+17,ElTunante2,2015-02-08 19:36:26+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean got me sitting in my room for over an hour waiting for assistance,5.64E+17,KID_HMK,2015-02-08 18:53:25+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@RoyalCaribbean I guess our experience still does not matter to you! We still have heard nothing from you. Extremely disappointed,5.64E+17,walkerfamilyca,2015-02-08 18:31:23+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@RoyalCaribbean @thetexastenors Have a great time! Love the Royal Caribbean ships!,5.64E+17,JenniferKowatch,2015-02-08 17:29:59+00:00,0,1,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean @thetexastenors have a great time find some time for yourself I know you guys going to do a great job,5.64E+17,liz08rosie06,2015-02-08 17:24:25+00:00,0,0,,positive,neutral,positive,1,0,1,2,positive,contested
@RoyalCaribbean has the float out of #anthemoftheseas happened today?,5.64E+17,helenslakin,2015-02-08 17:13:08+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
"@RoyalCaribbean Cruising on 2/13 on @Enchantmentofseas &amp; I wonder if you have some tips? My wife &amp; I are sailing on same ship,17yrs later!",5.64E+17,beare00s,2015-02-08 16:45:53+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
"@RoyalCaribbean begin construction on 4th #Oasisclass cruise ship, complete refit on #FreedomoftheSeas. #cruisenews http://www.cruisearabiaonline.com/News/2015/02/08/Royal-Caribbean-begin-construction-of-fourth-Oasis-class-ship-as-Freedom-of-the-Seas-comp",5.64E+17,CruiseArabia,2015-02-08 14:04:28+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean who is the cruise director on independence April 5 out of Fort Laud?? better be someone #awesome,5.64E+17,candishweet,2015-02-08 13:57:28+00:00,0,0,,neutral,neutral,positive,0,0,1,1,neutral,contested
@RoyalCaribbean Everything!! ,5.64E+17,AutismAtThePark,2015-02-08 13:44:57+00:00,0,0,,positive,neutral,positive,1,0,1,2,positive,contested
@RoyalCaribbean when is the anthem scheduled to leave Mayer werft today and is there a link I can watch the float out. Booked on it 1st June,5.64E+17,martinkelly84,2015-02-08 12:29:19+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean Do you know what time the float out for Anthem of the Seas is today? Will it be available to watch online?,5.64E+17,willz1253,2015-02-08 12:12:01+00:00,0,2,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean I am trying to book the character breakfast on the Allure but it keeps charging for children when they are free. Please help,5.64E+17,Babychan,2015-02-08 08:55:26+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@RoyalCaribbean Can I have a follow please,5.64E+17,tonyr2011,2015-02-08 07:47:17+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean really knows how to deal with allergies. Ate like a gluten free queen in the dining room all week! #celiac #oasisoftheseas,5.64E+17,Bellaevangel,2015-02-08 05:22:57+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
"@RoyalCaribbean flow rider, gettin to relax in the sun, and all the food!",5.64E+17,MattAllein,2015-02-08 05:08:37+00:00,0,1,,positive,positive,positive,1,1,1,3,positive,
"“@RoyalCaribbean: @MattAllein When will you be onboard, Matt?”",5.64E+17,MattAllein,2015-02-08 03:45:28+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean May 23rd to May 30th,5.64E+17,MattAllein,2015-02-08 03:21:18+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean AYÚDENNOS!!! Comparte el nuevo video por favor!! Gracias! http://buscandoaltunante.com.ar contacto @ElTunante2,5.64E+17,Nanda19996,2015-02-07 23:57:29+00:00,1,0,,neutral,positive,neutral,0,1,0,1,neutral,contested
@RoyalCaribbean @Lisshamer 141 Days until our Wedding on here lets go! Save us a seat!,5.64E+17,petegriggs,2015-02-07 23:00:06+00:00,0,0,,neutral,positive,positive,0,1,1,2,positive,contested
@RoyalCaribbean be there on the 26th!!!,5.64E+17,DeanFlukes,2015-02-07 21:47:59+00:00,0,0,,neutral,neutral,positive,0,0,1,1,neutral,contested
@RoyalCaribbean save a good seat for us in June ,5.64E+17,belcaulfield,2015-02-07 21:32:14+00:00,0,0,,neutral,neutral,positive,0,0,1,1,neutral,contested
I wish I was there “@RoyalCaribbean: Best seats in the house. #ExploreroftheSeas http://bit.ly/1IqmSRU ”,5.64E+17,abbyctaliaferro,2015-02-07 21:02:13+00:00,0,1,,positive,neutral,positive,1,0,1,2,positive,contested
@RoyalCaribbean 63 days 'til we set sale for 18bday; 16th bday &amp; 20th anniversary. Can't wait! 3rd RCI cruise,5.64E+17,DanieB_TD,2015-02-07 18:30:54+00:00,0,1,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean off we go!! #oasisoftheseas #vacationbaby @dhalla_n,5.64E+17,dhalla_d,2015-02-07 15:38:43+00:00,1,0,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean no one reached out to us onboard. I suppose our business wasn't wanted. Back to booking with @PrincessCruises.,5.64E+17,walkerfamilyca,2015-02-07 15:04:49+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@RoyalCaribbean Id go on more cruises but my flights to get to a port are more $$than the cruise #kansasproblems,5.64E+17,jamenard2,2015-02-07 14:48:22+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@RoyalCaribbean one week until we cruise on Oasis! Cannot wait! Need relief from snow and cold... looking forward to the Caribbean Sea!,5.64E+17,mamafriedman,2015-02-07 13:32:42+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
"@RoyalCaribbean one more week and I'll be on my first cruise out of Ft Lauderdale, cruising to Belize and Cozumel.. Excited and nervous!!",5.64E+17,Karyshairstudio,2015-02-07 13:18:30+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean I just had the best vacation of my life on Liberty of the Seas and @abrahamprod. Thank u for a wonderful experience. ,5.64E+17,tammyharris01,2015-02-07 03:47:22+00:00,0,2,,positive,positive,neutral,1,1,0,2,positive,contested
@RoyalCaribbean @RoyalCaribPR Add a photo sharing component to Royal IQ,5.64E+17,mbjboyle,2015-02-07 02:39:32+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
“@RoyalCaribbean: Find your little corner of the world. #Croatia http://bit.ly/1Kp5M4v ” I love Croatia!,5.64E+17,Babijenn22,2015-02-07 01:43:14+00:00,0,1,,neutral,neutral,positive,0,0,1,1,neutral,contested
@RoyalCaribbean no I haven't- any recommendations of what to do on the ship?,5.64E+17,bextp84,2015-02-06 22:44:04+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean Gonna be a whole bunch of new things to see and do! Really excited about the Ultimate drink package though lol :),5.64E+17,MarMarDub,2015-02-06 22:24:20+00:00,0,2,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean Liberty of the Seas out of Fort Lauderdale! First time on Freedom class. Last RCCL I was on was Radiance class I think?,5.64E+17,MarMarDub,2015-02-06 22:23:25+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean since we've hit the specialty restaurants (FAVE was 150 Central Park) we are going to Japanese night at Windjammer!,5.64E+17,kmarcoz,2015-02-06 22:21:48+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
"@RoyalCaribbean Her favorite - grilled cheese, fries and a shake! Yum! #FreedomoftheSeas",5.64E+17,thisgrltravels,2015-02-06 22:04:50+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean On the #oasisoftheseas...can't believe the week is over already!,5.64E+17,kmarcoz,2015-02-06 21:45:39+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean only one week to go and we'll be on oasis of the seas! Can't wait!!!,5.64E+17,bextp84,2015-02-06 21:41:28+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean Quantum in San Juan PR.,5.64E+17,anaysa34,2015-02-06 21:38:05+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
@RoyalCaribbean @beefikeefi #cruise #CruiseChat #RoyalCaribbean @QuantumofSeas #cruising,5.64E+17,winker_watson1,2015-02-06 20:24:34+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
"@RoyalCaribbean adventure of the seas , Can't wait....Great times ahead !",5.64E+17,BuddTender,2015-02-06 19:41:05+00:00,0,1,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean Quantum of the Seas arrives in San Juan with 4.262 passengers! #SeePuertoRico http://www.see.pr,5.64E+17,discover_PR,2015-02-06 19:30:11+00:00,2,4,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean ruined holiday no flexibility when one of your top agents makes a mistake #treatthecustomerfairly,5.64E+17,ashleymanoff,2015-02-06 19:16:50+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@RoyalCaribbean Nuevo estudio indica área donde podría estar el velero perdido Contacto @ElTunante2 http://www.clarin.com/sociedad/Tunante-busqueda-familiares-velero-perdido-Brasil_0_1297670545.html,5.64E+17,NlidaLassalle,2015-02-06 19:05:29+00:00,2,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean Our favorite is Freedom (5th time on this year)-can't wait to see the changes!,5.64E+17,BridgetJ_AVON,2015-02-06 18:33:20+00:00,0,1,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean a long 22! We'll see you on the 28th in Fort Lauderdale! #libertyoftheseas,5.64E+17,CruiseOut2Sea,2015-02-06 18:08:26+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
"@royalcaribbean - thank you for your generous $10,000 Cushman Gala Sponsorship! http://okt.to/mY810b",5.64E+17,CushmanSchool,2015-02-06 18:00:15+00:00,0,1,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean Nuevo estudio indica área donde podría estar el velero perdido Contacto @ElTunante2 http://www.clarin.com/sociedad/Tunante-busqueda-familiares-velero-perdido-Brasil_0_1297670545.html,5.64E+17,higgins_lilly,2015-02-06 17:46:53+00:00,2,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean LOOK at the FREEBIES Here! Call 01314430766 http://www.gocruise.co.uk/garyd https://www.youtube.com/watch?v=p-PCEOcBzKQ,5.64E+17,cruiseoffers1st,2015-02-06 17:18:44+00:00,0,1,,neutral,positive,positive,0,1,1,2,positive,contested
@RoyalCaribbean @MyRoyalUK @theRCLblog @RCI_fans @liveboatusa #legendoftheseas off the coast of #ConeyIsland,5.64E+17,liveboatusa,2015-02-06 16:47:05+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean thanks! Took a surprise trip for my inlaws as their #christmas present!,5.64E+17,naters88,2015-02-06 16:27:07+00:00,0,3,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean what a joke in customer service. No compassion no customer care #lostaloyalcustomer,5.64E+17,ashleymanoff,2015-02-06 16:13:46+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@RoyalCaribbean you should ashamed at how much you've charged for flights. Utter shite no wonder you have big ships! Grrrrr not happy.,5.64E+17,Luke_Cordon,2015-02-06 15:12:06+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@RoyalCaribbean invertirá US$1.200 millones en nueva flota en 2015 http://bit.ly/1Ig6ZNZ,5.64E+17,JavierHosteltur,2015-02-06 12:25:53+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean invertirá 1.050 M € en nueva flota en 2015 #cruceros vía @hosteltur http://bit.ly/1BYxDSN,5.64E+17,angelesvargaspe,2015-02-06 11:27:32+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean @MyRoyalUK joke,5.64E+17,ChrisCjmassey23,2015-02-06 11:22:29+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@RoyalCaribbean would love to see how you celebrate in RED today for National Wear Red Day! #GOREDSFL ,5.64E+17,AHASouthFlorida,2015-02-06 05:35:26+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean in Cozumel today!! #publiport #Cozumel #mexico #MexicoFriendly,5.64E+17,PubliportC,2015-02-06 03:01:06+00:00,0,0,,neutral,neutral,positive,0,0,1,1,neutral,contested
@RoyalCaribbean Try to send an on boarding gift but the cut off was 6 pm. Manager said they couldn't override the system. My moms birthday:(,5.64E+17,KPK102,2015-02-06 02:47:46+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@RoyalCaribbean can't wait to join the #oasisoftheseas Saturday for a week of fun and sun!,5.63E+17,tashajean29,2015-02-06 00:25:55+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean's Freedom of the Seas sets sail after revitalisation,5.63E+17,SiteMapaMundi,2015-02-06 00:23:49+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean I sales on quantum of the seas and loved it but the dining wasn't my favorite I enjoyed americN icon silk grande and chic ,5.63E+17,McnamraBrien,2015-02-05 23:36:14+00:00,0,0,,neutral,negative,positive,0,-1,1,0,neutral,contested
@RoyalCaribbean when should i join you guys for my next cruise please advise,5.63E+17,travisyost,2015-02-05 23:25:17+00:00,0,1,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean @DisneyCruise Please warn your travelers @Verizon Global Roaming is a bait and switch tactic. Avoid the backlash!,5.63E+17,Bristol1730,2015-02-05 23:04:30+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@RoyalCaribbean #brillianceoftheseas goodbye Tampa! #cruisingwithcoke,5.63E+17,kerrizrjohnson,2015-02-05 22:35:07+00:00,0,0,,neutral,neutral,positive,0,0,1,1,neutral,contested
@RoyalCaribbean Do you allow non MMR vaccinated people on your boats?,5.63E+17,nychyperbole,2015-02-05 22:27:53+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean Podes ayudarnos en la busqueda!! Gracias!! Contacto @ElTunante2 https://www.youtube.com/watch?v=COb5IzO0CrQ&amp;feature=youtu.be http://fe.buscandoaltunante.com.ar,5.63E+17,Nanda19996,2015-02-05 21:59:28+00:00,1,0,,neutral,positive,neutral,0,1,0,1,neutral,contested
"@RoyalCaribbean travelling to caribbean San Juan , p.rico via Philadelphia (4hour stop)do I need a green card visa or ESTA thanks",5.63E+17,Ashmitch41,2015-02-05 19:22:24+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean's Grandeur of the Seas docked early due to norovirus. #SurfaceWise will soon counter this threat.,5.63E+17,AlliedBio,2015-02-05 17:14:28+00:00,0,0,,neutral,negative,neutral,0,-1,0,-1,neutral,contested
@RoyalCaribbean TODAY ONLY! #BOGO50Off plus $200 #OBC 2-Day Sale http://sdozier.cruisesinc.com/travel/promotion/royal-caribbean-cruises.do #CruiseChat #FamlyTravel #BOGO50Off #TravelThursday,5.63E+17,SLATEvacations,2015-02-05 17:04:37+00:00,0,0,,neutral,neutral,positive,0,0,1,1,neutral,contested
@RoyalCaribbean beautiful,5.63E+17,Macuska04,2015-02-05 13:30:12+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean ha comenzado la construcción de su 4 barco de la clase #oasis @RoyalESP #RevistaiCruceros http://www.icruceros.eu,5.63E+17,icruceros,2015-02-05 12:57:42+00:00,0,1,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean Independence of the Seas docks @San Juan with 3.557 passengers http://www.see.pr #SeePuertoRico,5.63E+17,discover_PR,2015-02-05 11:30:07+00:00,1,1,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean cruise to see #Norway's beautiful fjords all booked for May with @charlesastwood. Happy days :),5.63E+17,CiorGlass,2015-02-05 11:25:11+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean will you ever bring out an itinerary around Hawaii that doesn't involve 4 or 5 days in a row at sea on a 10 day cruise?,5.63E+17,b_d4512,2015-02-05 10:54:06+00:00,0,0,,neutral,negative,negative,0,-1,-1,-2,negative,contested
"@RoyalCaribbean construye su cuarto barco de la clase ‘Oasis’, que estará operativo en 2017",5.63E+17,bivestour,2015-02-05 10:07:24+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
"@RoyalCaribbean beautiful photo Steve hodgson , capturing all the different colours .",5.63E+17,hall_dch,2015-02-05 08:38:59+00:00,0,0,,neutral,neutral,positive,0,0,1,1,neutral,contested
@RoyalCaribbean begins work on fourth #Oasis class ship with steel cutting ceremony,5.63E+17,SiteMapaMundi,2015-02-05 01:04:29+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean sale is extended offering Buy One Get One Up To 50% Off • Up to US$400 Onboard Credit per stateroom and • 50% deposits.,5.63E+17,McIntoshIanmac,2015-02-05 00:11:18+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean unveils revitalized #FreedomoftheSeas http://ow.ly/Iummu #upgrades #cruise,5.63E+17,bahamasinvestor,2015-02-04 22:10:06+00:00,0,0,,neutral,neutral,positive,0,0,1,1,neutral,contested
@RoyalCaribbean Maroma Beach Riviera Cancun #beautiful #exquisite,5.63E+17,satnamrsingh,2015-02-04 22:08:14+00:00,0,0,,neutral,positive,positive,0,1,1,2,positive,contested
@RoyalCaribbean That looks so scenic!,5.63E+17,satnamrsingh,2015-02-04 22:05:10+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean is offering free return flights when you book Asia on Legend of the Seas 10 nights or longer departing 11 June - 10 Nov 2015,5.63E+17,McIntoshIanmac,2015-02-04 21:56:51+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
"@RoyalCaribbean , comienza la construcción del 4º barco de la clase Oasis.@RoyalESP http://loscrucerosdemarian.com/royal-caribbean-international-comienza-la-construccion-del-4o-barco-de-la-clase-oasis/",5.63E+17,Marian_geles,2015-02-04 20:20:04+00:00,0,1,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean Rotational dining doesn't sound any better than dynamic. Both force guests to go to restaurants they don't like.,5.63E+17,ssblackman,2015-02-04 19:28:17+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@RoyalCaribbean Thank you. We are looking forward to our cruise in April.,5.63E+17,Tykeslife,2015-02-04 19:08:07+00:00,0,1,,positive,positive,positive,1,1,1,3,positive,
"@RoyalCaribbean Yes, please. I wish could teleport to the Allure, Oasis, or Quantum right now. Any of the above would do! :-)",5.63E+17,DianaUrban,2015-02-04 18:44:10+00:00,0,1,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean Your website sale dates are wrong. Showing December 2014.,5.63E+17,cristencasados,2015-02-04 16:39:25+00:00,0,0,,neutral,negative,negative,0,-1,-1,-2,negative,contested
@RoyalCaribbean begins construction on fourth Oasis-class ship (official press release) http://shar.es/1o53iK via @RoyalCaribPR,5.63E+17,gotang20,2015-02-04 14:42:04+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean more annoyed booking early doesn't do any1 any good!Giving free upgrades if u book inside cabin! Booked 7 months ago Annoyed,5.63E+17,Charlie199001,2015-02-04 12:48:09+00:00,0,1,,negative,negative,negative,-1,-1,-1,-3,negative,
@RoyalCaribbean regarding latest Nuro virus..we always hear the CG took samples..but never the cause. Hope my April cruise goes well,5.63E+17,Gerald205,2015-02-04 10:54:42+00:00,0,0,,neutral,negative,neutral,0,-1,0,-1,neutral,contested
@RoyalCaribbean heard a lot of people saying all inclusive packages that you get a basic drinks package? How do we find out of this is me?,5.63E+17,Charlie199001,2015-02-04 09:13:46+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean Cheers - I have created a basic listing for you http://timthetraveller.com/traveldeals/listing-category/cruise-deals you can also create a listing with your own content,5.63E+17,giddaytim,2015-02-04 03:03:20+00:00,0,0,,neutral,neutral,positive,0,0,1,1,neutral,contested
@RoyalCaribbean #QuantumOfTheSeas #flowrider Yup That's Me #flowriding https://vine.co/v/OFOEQKli7md,5.63E+17,Hawk546nj,2015-02-04 02:17:23+00:00,5,12,,neutral,positive,positive,0,1,1,2,positive,contested
@RoyalCaribbean #QuantumOfTheSeas #IFLY #RoyalWow Look Ma no Hands! https://vine.co/v/OFOEQqvd0dI,5.63E+17,Hawk546nj,2015-02-04 02:13:49+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean @n2nursingmb,5.63E+17,FutrellJohn,2015-02-04 00:49:21+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean any truth to rumors that Freedom may need another dry dock to fix mechanical issues?,5.63E+17,cruisebrett,2015-02-03 22:08:52+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
